"Locus Tag","Gene Name","Product Description","Strain Name","Accession","GO Term","Namespace","GO Evidence Code","Evidence Ontology ECO Code","Evidence Ontology Term","Similar To \ Binds To","PMID"
"CLM75_RS25365","CLM75_RS25365","16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA","Pseudomonas lurida MYb11","GO:0006364","rRNA processing","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00607","PMID:24451626"
"CLM75_RS25365","CLM75_RS25365","16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA","Pseudomonas lurida MYb11","GO:0000154","rRNA modification","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00650","PMID:24451626"
"CLM75_RS25365","CLM75_RS25365","16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))- dimethyltransferase RsmA","Pseudomonas lurida MYb11","GO:0008649","rRNA methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00650","PMID:24451626"
"CLM75_RS25375","CLM75_RS25375","diadenosine tetraphosphatase","Pseudomonas lurida MYb11","GO:0016787","hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00149","PMID:24451626"
"CLM75_RS25375","CLM75_RS25375","diadenosine tetraphosphatase","Pseudomonas lurida MYb11","GO:0008803","bis(5'-nucleosyl)-tetraphosphatase (symmetrical) activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00199","PMID:24451626"
"CLM75_RS25380","CLM75_RS25380","thiosulfate sulfurtransferase GlpE","Pseudomonas lurida MYb11","GO:0004792","thiosulfate sulfurtransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01009","PMID:24451626"
"CLM75_RS25380","CLM75_RS25380","thiosulfate sulfurtransferase GlpE","Pseudomonas lurida MYb11","GO:0005737","cytoplasm","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01009","PMID:24451626"
"CLM75_RS25385","CLM75_RS25385","PrkA family serine protein kinase","Pseudomonas lurida MYb11","GO:0004672","protein kinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000549","PMID:24451626"
"CLM75_RS25400","CLM75_RS25400","multifunctional CCA addition/repair protein","Pseudomonas lurida MYb11","GO:0001680","tRNA 3'-terminal CCA addition","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000813","PMID:24451626"
"CLM75_RS25400","CLM75_RS25400","multifunctional CCA addition/repair protein","Pseudomonas lurida MYb11","GO:0003723","RNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000813","PMID:24451626"
"CLM75_RS25400","CLM75_RS25400","multifunctional CCA addition/repair protein","Pseudomonas lurida MYb11","GO:0004810","tRNA adenylyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000813","PMID:24451626"
"CLM75_RS25400","CLM75_RS25400","multifunctional CCA addition/repair protein","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF000813","PMID:24451626"
"CLM75_RS25400","CLM75_RS25400","multifunctional CCA addition/repair protein","Pseudomonas lurida MYb11","GO:0006396","RNA processing","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd05398","PMID:24451626"
"CLM75_RS25400","CLM75_RS25400","multifunctional CCA addition/repair protein","Pseudomonas lurida MYb11","GO:0016779","nucleotidyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd05398","PMID:24451626"
"CLM75_RS25405","folK","2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase","Pseudomonas lurida MYb11","GO:0003848","2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01498","PMID:24451626"
"CLM75_RS25405","folK","2-amino-4-hydroxy-6- hydroxymethyldihydropteridine diphosphokinase","Pseudomonas lurida MYb11","GO:0009396","folic acid-containing compound biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01498","PMID:24451626"
"CLM75_RS25410","folB","dihydroneopterin aldolase","Pseudomonas lurida MYb11","GO:0004150","dihydroneopterin aldolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02152","PMID:24451626"
"CLM75_RS25410","folB","dihydroneopterin aldolase","Pseudomonas lurida MYb11","GO:0006760","folic acid-containing compound metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02152","PMID:24451626"
"CLM75_RS25415","CLM75_RS25415","glycerol-3-phosphate 1-O-acyltransferase PlsY","Pseudomonas lurida MYb11","GO:0005886","plasma membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02660","PMID:24451626"
"CLM75_RS25415","CLM75_RS25415","glycerol-3-phosphate 1-O-acyltransferase PlsY","Pseudomonas lurida MYb11","GO:0008654","phospholipid biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02660","PMID:24451626"
"CLM75_RS25415","CLM75_RS25415","glycerol-3-phosphate 1-O-acyltransferase PlsY","Pseudomonas lurida MYb11","GO:0043772","acyl-phosphate glycerol-3-phosphate acyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02660","PMID:24451626"
"CLM75_RS25420","tsaD","tRNA (adenosine(37)-N6)-threonylcarbamoyltransferase complex transferase subunit TsaD","Pseudomonas lurida MYb11","GO:0002949","tRNA threonylcarbamoyladenosine modification","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03723","PMID:24451626"
"CLM75_RS25425","CLM75_RS25425","30S ribosomal protein S21","Pseudomonas lurida MYb11","GO:0003735","structural constituent of ribosome","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00030","PMID:24451626"
"CLM75_RS25425","CLM75_RS25425","30S ribosomal protein S21","Pseudomonas lurida MYb11","GO:0005840","ribosome","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00030","PMID:24451626"
"CLM75_RS25425","CLM75_RS25425","30S ribosomal protein S21","Pseudomonas lurida MYb11","GO:0006412","translation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00030","PMID:24451626"
"CLM75_RS25430","CLM75_RS25430","DNA primase","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.90.580.10","PMID:24451626"
"CLM75_RS25430","CLM75_RS25430","DNA primase","Pseudomonas lurida MYb11","GO:0006260","DNA replication","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.90.580.10","PMID:24451626"
"CLM75_RS25430","CLM75_RS25430","DNA primase","Pseudomonas lurida MYb11","GO:0008270","zinc ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.90.580.10","PMID:24451626"
"CLM75_RS25430","CLM75_RS25430","DNA primase","Pseudomonas lurida MYb11","GO:0003896","DNA primase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF002811","PMID:24451626"
"CLM75_RS25430","CLM75_RS25430","DNA primase","Pseudomonas lurida MYb11","GO:0006269","DNA replication, synthesis of RNA primer","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF002811","PMID:24451626"
"CLM75_RS25430","CLM75_RS25430","DNA primase","Pseudomonas lurida MYb11","GO:0016779","nucleotidyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF10410","PMID:24451626"
"CLM75_RS25435","CLM75_RS25435","RNA polymerase sigma factor RpoD","Pseudomonas lurida MYb11","GO:0003677","DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00140","PMID:24451626"
"CLM75_RS25435","CLM75_RS25435","RNA polymerase sigma factor RpoD","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00140","PMID:24451626"
"CLM75_RS25435","CLM75_RS25435","RNA polymerase sigma factor RpoD","Pseudomonas lurida MYb11","GO:0006352","DNA-templated transcription, initiation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00140","PMID:24451626"
"CLM75_RS25435","CLM75_RS25435","RNA polymerase sigma factor RpoD","Pseudomonas lurida MYb11","GO:0006352","DNA-templated transcription initiation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00140","PMID:24451626"
"CLM75_RS25435","CLM75_RS25435","RNA polymerase sigma factor RpoD","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00140","PMID:24451626"
"CLM75_RS25435","CLM75_RS25435","RNA polymerase sigma factor RpoD","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00140","PMID:24451626"
"CLM75_RS25435","CLM75_RS25435","RNA polymerase sigma factor RpoD","Pseudomonas lurida MYb11","GO:0016987","sigma factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00140","PMID:24451626"
"CLM75_RS25440","CLM75_RS25440","bifunctional diguanylate cyclase/phosphodiesterase","Pseudomonas lurida MYb11","GO:0005515","protein binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF08447","PMID:24451626"
"CLM75_RS25455","CLM75_RS25455","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS25455","CLM75_RS25455","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS25455","CLM75_RS25455","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS25460","CLM75_RS25460","Lrp/AsnC family transcriptional regulator","Pseudomonas lurida MYb11","GO:0043565","sequence-specific DNA binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00033","PMID:24451626"
"CLM75_RS25465","CLM75_RS25465","NAD(P)/FAD-dependent oxidoreductase","Pseudomonas lurida MYb11","GO:0016491","oxidoreductase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01593","PMID:24451626"
"CLM75_RS25470","CLM75_RS25470","carbon-nitrogen hydrolase","Pseudomonas lurida MYb11","GO:0016787","hydrolase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:cd07576","PMID:24451626"
"CLM75_RS25470","CLM75_RS25470","carbon-nitrogen hydrolase","Pseudomonas lurida MYb11","GO:0006807","nitrogen compound metabolic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00795","PMID:24451626"
"CLM75_RS25475","pqqF","pyrroloquinoline quinone biosynthesis protein PqqF","Pseudomonas lurida MYb11","GO:0046872","metal ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF63411","PMID:24451626"
"CLM75_RS25475","pqqF","pyrroloquinoline quinone biosynthesis protein PqqF","Pseudomonas lurida MYb11","GO:0004222","metalloendopeptidase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02110","PMID:24451626"
"CLM75_RS25475","pqqF","pyrroloquinoline quinone biosynthesis protein PqqF","Pseudomonas lurida MYb11","GO:0006508","proteolysis","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02110","PMID:24451626"
"CLM75_RS25475","pqqF","pyrroloquinoline quinone biosynthesis protein PqqF","Pseudomonas lurida MYb11","GO:0008270","zinc ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02110","PMID:24451626"
"CLM75_RS25475","pqqF","pyrroloquinoline quinone biosynthesis protein PqqF","Pseudomonas lurida MYb11","GO:0018189","pyrroloquinoline quinone biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02110","PMID:24451626"
"CLM75_RS25480","pqqA","pyrroloquinoline quinone precursor peptide PqqA","Pseudomonas lurida MYb11","GO:0018189","pyrroloquinoline quinone biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF08042","PMID:24451626"
"CLM75_RS25490","CLM75_RS25490","pyrroloquinoline-quinone synthase PqqC","Pseudomonas lurida MYb11","GO:0018189","pyrroloquinoline quinone biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00654","PMID:24451626"
"CLM75_RS25495","CLM75_RS25495","pyrroloquinoline quinone biosynthesis protein PqqD","Pseudomonas lurida MYb11","GO:0018189","pyrroloquinoline quinone biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03859","PMID:24451626"
"CLM75_RS25495","CLM75_RS25495","pyrroloquinoline quinone biosynthesis protein PqqD","Pseudomonas lurida MYb11","GO:0048038","quinone binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR03859","PMID:24451626"
"CLM75_RS25500","pqqE","pyrroloquinoline quinone biosynthesis protein PqqE","Pseudomonas lurida MYb11","GO:0018189","pyrroloquinoline quinone biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00660","PMID:24451626"
"CLM75_RS25500","pqqE","pyrroloquinoline quinone biosynthesis protein PqqE","Pseudomonas lurida MYb11","GO:0051539","4 iron, 4 sulfur cluster binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_00660","PMID:24451626"
"CLM75_RS25500","pqqE","pyrroloquinoline quinone biosynthesis protein PqqE","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00729","PMID:24451626"
"CLM75_RS25500","pqqE","pyrroloquinoline quinone biosynthesis protein PqqE","Pseudomonas lurida MYb11","GO:0051536","iron-sulfur cluster binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00729","PMID:24451626"
"CLM75_RS25505","CLM75_RS25505","YqaE/Pmp3 family membrane protein","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF01679","PMID:24451626"
"CLM75_RS25510","CLM75_RS25510","aspartate aminotransferase family protein","Pseudomonas lurida MYb11","GO:0008483","transaminase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00202","PMID:24451626"
"CLM75_RS25510","CLM75_RS25510","aspartate aminotransferase family protein","Pseudomonas lurida MYb11","GO:0030170","pyridoxal phosphate binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00202","PMID:24451626"
"CLM75_RS25510","CLM75_RS25510","aspartate aminotransferase family protein","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.90.1150.10","PMID:24451626"
"CLM75_RS25515","CLM75_RS25515","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00039","PMID:24451626"
"CLM75_RS25515","CLM75_RS25515","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00039","PMID:24451626"
"CLM75_RS25515","CLM75_RS25515","LysR family transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PR00039","PMID:24451626"
"CLM75_RS25520","CLM75_RS25520","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02770","PMID:24451626"
"CLM75_RS25520","CLM75_RS25520","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF02771","PMID:24451626"
"CLM75_RS25525","CLM75_RS25525","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:2.40.110.10","PMID:24451626"
"CLM75_RS25525","CLM75_RS25525","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.540.10","PMID:24451626"
"CLM75_RS25535","CLM75_RS25535","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0016627","oxidoreductase activity, acting on the CH-CH group of donors","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.540.10","PMID:24451626"
"CLM75_RS25535","CLM75_RS25535","acyl-CoA dehydrogenase","Pseudomonas lurida MYb11","GO:0050660","flavin adenine dinucleotide binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:1.10.540.10","PMID:24451626"
"CLM75_RS25545","bioD","dethiobiotin synthase","Pseudomonas lurida MYb11","GO:0000287","magnesium ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF006755","PMID:24451626"
"CLM75_RS25545","bioD","dethiobiotin synthase","Pseudomonas lurida MYb11","GO:0004141","dethiobiotin synthase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF006755","PMID:24451626"
"CLM75_RS25545","bioD","dethiobiotin synthase","Pseudomonas lurida MYb11","GO:0005524","ATP binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF006755","PMID:24451626"
"CLM75_RS25545","bioD","dethiobiotin synthase","Pseudomonas lurida MYb11","GO:0009102","biotin biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF006755","PMID:24451626"
"CLM75_RS25550","bioC","malonyl-[acyl-carrier protein] O-methyltransferase BioC","Pseudomonas lurida MYb11","GO:0008168","methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF08241","PMID:24451626"
"CLM75_RS25550","bioC","malonyl-[acyl-carrier protein] O-methyltransferase BioC","Pseudomonas lurida MYb11","GO:0009102","biotin biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02072","PMID:24451626"
"CLM75_RS25550","bioC","malonyl-[acyl-carrier protein] O-methyltransferase BioC","Pseudomonas lurida MYb11","GO:0010340","carboxyl-O-methyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR02072","PMID:24451626"
"CLM75_RS25560","bioF","8-amino-7-oxononanoate synthase","Pseudomonas lurida MYb11","GO:0008710","8-amino-7-oxononanoate synthase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01693","PMID:24451626"
"CLM75_RS25560","bioF","8-amino-7-oxononanoate synthase","Pseudomonas lurida MYb11","GO:0009102","biotin biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:MF_01693","PMID:24451626"
"CLM75_RS25560","bioF","8-amino-7-oxononanoate synthase","Pseudomonas lurida MYb11","GO:0009058","biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00155","PMID:24451626"
"CLM75_RS25560","bioF","8-amino-7-oxononanoate synthase","Pseudomonas lurida MYb11","GO:0030170","pyridoxal phosphate binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00155","PMID:24451626"
"CLM75_RS25560","bioF","8-amino-7-oxononanoate synthase","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.90.1150.10","PMID:24451626"
"CLM75_RS25565","bioB","biotin synthase BioB","Pseudomonas lurida MYb11","GO:0004076","biotin synthase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR22976","PMID:24451626"
"CLM75_RS25565","bioB","biotin synthase BioB","Pseudomonas lurida MYb11","GO:0009102","biotin biosynthetic process","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR22976","PMID:24451626"
"CLM75_RS25565","bioB","biotin synthase BioB","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04055","PMID:24451626"
"CLM75_RS25565","bioB","biotin synthase BioB","Pseudomonas lurida MYb11","GO:0051536","iron-sulfur cluster binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04055","PMID:24451626"
"CLM75_RS25575","CLM75_RS25575","molybdenum-dependent transcriptional regulator","Pseudomonas lurida MYb11","GO:0015689","molybdate ion transport","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR00638","PMID:24451626"
"CLM75_RS25575","CLM75_RS25575","molybdenum-dependent transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF005763","PMID:24451626"
"CLM75_RS25575","CLM75_RS25575","molybdenum-dependent transcriptional regulator","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF005763","PMID:24451626"
"CLM75_RS25575","CLM75_RS25575","molybdenum-dependent transcriptional regulator","Pseudomonas lurida MYb11","GO:0030151","molybdenum ion binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF005763","PMID:24451626"
"CLM75_RS25575","CLM75_RS25575","molybdenum-dependent transcriptional regulator","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00126","PMID:24451626"
"CLM75_RS25585","CLM75_RS25585","serine/threonine protein kinase","Pseudomonas lurida MYb11","GO:0004674","protein serine/threonine kinase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR39573","PMID:24451626"
"CLM75_RS25585","CLM75_RS25585","serine/threonine protein kinase","Pseudomonas lurida MYb11","GO:0006468","protein phosphorylation","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR39573","PMID:24451626"
"CLM75_RS25590","rarD","EamA family transporter RarD","Pseudomonas lurida MYb11","GO:0005887","integral component of plasma membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PTHR22911:SF114","PMID:24451626"
"CLM75_RS25590","rarD","EamA family transporter RarD","Pseudomonas lurida MYb11","GO:0016020","membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00892","PMID:24451626"
"CLM75_RS25590","rarD","EamA family transporter RarD","Pseudomonas lurida MYb11","GO:0016021","integral component of membrane","cellular_component","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF00892","PMID:24451626"
"CLM75_RS25595","CLM75_RS25595","glycine cleavage system protein R","Pseudomonas lurida MYb11","GO:0006355","regulation of transcription, DNA-templated","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF028103","PMID:24451626"
"CLM75_RS25595","CLM75_RS25595","glycine cleavage system protein R","Pseudomonas lurida MYb11","GO:0006355","regulation of DNA-templated transcription","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PIRSF028103","PMID:24451626"
"CLM75_RS25600","CLM75_RS25600","malate synthase G","Pseudomonas lurida MYb11","GO:0004474","malate synthase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01345","PMID:24451626"
"CLM75_RS25600","CLM75_RS25600","malate synthase G","Pseudomonas lurida MYb11","GO:0006097","glyoxylate cycle","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:TIGR01345","PMID:24451626"
"CLM75_RS25600","CLM75_RS25600","malate synthase G","Pseudomonas lurida MYb11","GO:0003824","catalytic activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SSF51645","PMID:24451626"
"CLM75_RS25605","CLM75_RS25605","response regulator","Pseudomonas lurida MYb11","GO:0000160","phosphorelay signal transduction system","biological_process","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:SM00448","PMID:24451626"
"CLM75_RS25610","CLM75_RS25610","cyclic nucleotide-binding protein","Pseudomonas lurida MYb11","GO:0008773","[protein-PII] uridylyltransferase activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF03445","PMID:24451626"
"CLM75_RS25615","CLM75_RS25615","3'-5' exonuclease","Pseudomonas lurida MYb11","GO:0003676","nucleic acid binding","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:G3DSA:3.30.420.10","PMID:24451626"
"CLM75_RS25620","CLM75_RS25620","RNA polymerase subunit sigma","Pseudomonas lurida MYb11","GO:0003700","DNA-binding transcription factor activity","molecular_function","ISM","ECO:0000259","match to InterPro signature evidence used in automatic assertion","InterPro:PF04542","PMID:24451626"
